Calories from Fat,Saturated Fat
120,5
70,3
200,8
250,10
210,8
210,9
230,13
270,14
180,11
220,12
240,12
280,13
290,14
330,15
250,12
280,13
180,8
220,9
290,16
190,9
140,7
200,8
280,12
230,10
280,11
230,9
310,13
430,17
470,18
330,14
370,14
510,19
540,20
410,16
450,16
80,2
210,7
150,7
80,1.5
170,9
35,1.5
40,1.5
240,10
240,12
260,13
280,13
250,11
380,19
70,3
100,5
190,10
360,15
150,8
200,10
200,9
210,9
240,10
200,3.5
80,2
300,9
180,7
250,6
130,4.5
340,10
230,8
170,3
140,3
220,7
190,5
150,3
280,9
170,7
280,8
160,6
300,8
180,6
200,4.5
90,3
110,2
160,3
270,5
530,10
1060,20
170,4
70,3.5
190,6
80,4
40,2
190,4.5
80,2.5
130,4.5
70,3.5
130,4.5
70,3.5
180,5
120,4.5
100,1.5
140,2.5
220,3.5
50,1
0,0
0,0
20,1
110,7
70,3.5
50,2.5
10,1
80,7
70,5
60,4
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
20,1.5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
80,5
90,6
120,8
80,5
90,6
120,8
80,5
90,6
120,8
80,5
90,6
120,8
80,5
90,6
120,8
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
100,7
120,8
150,10
30,2
30,2
35,2.5
100,7
120,8
150,10
30,2
30,2
35,2.5
120,8
140,9
180,12
30,2
30,2
35,2.5
40,3
60,4.5
80,6
40,3
60,4.5
80,6
40,3
60,4.5
80,6
40,3
60,4.5
80,6
40,3
60,4.5
80,6
100,7
110,8
150,10
45,3
45,3.5
50,3.5
100,7
110,7
150,10
45,3
45,3
50,3.5
160,12
200,14
240,17
170,12
200,15
250,17
200,14
240,17
280,20
5,0
5,0
10,0.5
5,0
5,0
10,0.5
5,0
10,0
10,0.5
140,10
170,12
210,15
150,10
180,13
210,15
150,10
180,12
210,15
170,12
210,15
210,14
290,20
140,10
150,9
200,12
100,6
290,15
150,8
